"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.053516667E-2,-8.141569519E-1,3.035537567E0,8.566386108E0
4.057316667E-2,-1.688488770E-1,2.816393280E0,8.991801453E0
5.061116667E-2,5.388793945E-1,2.903961182E0,1.083791245E1
6.065016667E-2,-1.862127686E-1,3.641327820E0,1.066367477E1
7.068816667E-2,-1.773811340E0,3.204386444E0,1.062490540E1
8.072616667E-2,-2.556383972E0,3.154989166E0,8.171806641E0
9.076416667E-2,-8.173004150E-1,3.771107941E0,5.264103241E0
1.008031667E-1,-3.634442139E-1,3.860322418E0,8.586743774E0
1.108411667E-1,6.021977234E-1,2.811752930E0,1.086096451E1
1.208791667E-1,-1.533111877E0,2.752625885E0,1.072504715E1
1.309181667E-1,-3.157683563E0,3.507356415E0,9.851613464E0
1.409561667E-1,-3.996688843E-1,4.228107605E0,8.126151581E0
1.509941667E-1,9.641450500E-1,4.306245117E0,7.574099579E0
1.610331667E-1,-1.152154083E0,2.394869843E0,9.791438599E0
1.710711667E-1,-3.744463348E0,3.049159241E-1,1.280751663E1
1.811091667E-1,-7.098239136E-1,1.938917999E0,1.069810318E1
1.911471667E-1,5.038222961E0,5.575006714E0,7.136260071E0
2.011861667E-1,5.674250336E0,7.342082062E0,5.260061646E0
2.112241667E-1,-9.006770325E-1,4.779560852E0,8.002059631E0
2.212621667E-1,-7.655530243E0,1.392105103E0,1.282712585E1
2.313011667E-1,-8.215964813E0,1.111887817E0,1.264555344E1
2.413391667E-1,-5.712420959E0,3.582500153E0,9.443562012E0
2.513771667E-1,-1.410217438E0,5.614674225E0,7.673792267E0
2.614151667E-1,3.491788788E0,4.640949097E0,6.225553894E0
2.714541667E-1,2.748135223E0,3.341800690E0,8.605454865E0
2.814921667E-1,-1.284329224E0,2.219883728E0,1.125793900E1
2.915301667E-1,-3.262465668E0,2.510728912E0,1.104777603E1
3.015691667E-1,-3.612587585E0,4.435426483E0,9.883796539E0
3.116071667E-1,-1.085243225E-1,5.479355621E0,6.673123169E0
