"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.011790276E-1,4.816238263E1,1.155472034E1,5.143041725E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.450680017E-1,4.816245163E1,1.155462607E1,5.144280777E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.624445200E0,4.816256576E1,1.155449151E1,5.466360440E2,2.116816282E0,-1.000000000E0,1.600000000E1,1.600000000E1
3.624445796E0,4.816258663E1,1.155451557E1,4.712794548E2,2.116816282E0,-1.000000000E0,1.600000000E1,1.600000000E1
4.624445796E0,4.816261648E1,1.155452648E1,5.110060640E2,2.116816282E0,-1.000000000E0,1.200000000E1,1.200000000E1
5.624445200E0,4.816263858E1,1.155456349E1,4.593795677E2,2.148138046E0,-1.000000000E0,1.600000000E1,1.600000000E1
6.624445915E0,4.816268989E1,1.155456479E1,4.592985985E2,3.340456486E0,-1.000000000E0,1.600000000E1,1.600000000E1
7.624445677E0,4.816271820E1,1.155457851E1,4.592244408E2,3.797700644E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.624472857E0,4.816275982E1,1.155460206E1,4.591498436E2,3.797700644E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.624472857E0,4.816283914E1,1.155456294E1,5.179934173E2,3.797700644E0,-1.000000000E0,1.200181241E1,1.200181241E1
1.062448299E1,4.816284976E1,1.155456860E1,5.093670531E2,3.433607340E0,9.200209487E1,8.001208274E0,8.001208274E0
1.177648234E1,4.816286654E1,1.155461385E1,5.143554854E2,3.712041378E0,8.622531212E1,8.001208274E0,8.001208274E0
1.277649117E1,4.816287153E1,1.155468188E1,5.147244703E2,3.712041378E0,8.681493503E1,8.001208274E0,8.001208274E0
1.377649105E1,4.816287602E1,1.155475903E1,5.146090433E2,4.744557381E0,8.506863324E1,8.001208274E0,8.001208274E0
1.477649927E1,4.816287672E1,1.155482725E1,5.145109284E2,3.370155334E0,8.672360174E1,8.001208274E0,8.001208274E0
1.577649999E1,4.816287754E1,1.155490892E1,5.145011169E2,3.383390665E0,8.489016040E1,8.001208274E0,8.001208274E0
1.677650881E1,4.816287190E1,1.155495765E1,5.145001357E2,3.383390665E0,8.322715277E1,1.200181241E1,1.200181241E1
1.777650857E1,4.816288092E1,1.155500789E1,5.145000376E2,3.810528040E0,8.498805750E1,8.001208274E0,8.001208274E0
1.877651644E1,4.816288695E1,1.155505689E1,5.145000278E2,4.033917904E0,8.967075324E1,8.001208274E0,8.001208274E0
1.977651656E1,4.816289473E1,1.155511234E1,5.145000268E2,4.033917904E0,9.017712297E1,8.001208274E0,8.001208274E0
2.077652645E1,4.816290857E1,1.155518536E1,5.145000267E2,3.706491470E0,8.466434069E1,8.001208274E0,8.001208274E0
