"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.802620833E-2,-4.476257861E-1,4.161253944E-2,2.416636050E-1
5.806420833E-2,-1.878048629E-1,-1.614441723E-1,2.639718354E-1
6.810220833E-2,-1.191662848E-1,-3.244952261E-1,4.001202285E-1
7.813920833E-2,-2.266852856E-1,-1.168429926E-1,1.930820942E-1
8.817720833E-2,-2.663950026E-1,1.154143829E-3,4.941630960E-1
9.821520833E-2,-1.911329925E-1,1.476296037E-1,6.321877837E-1
1.082532083E-1,-1.082871407E-1,2.244689316E-1,3.904765844E-1
1.182902083E-1,-6.242883578E-2,-5.166092888E-2,5.727217793E-1
1.283282083E-1,-1.763083157E-3,-8.675124496E-2,4.931316376E-1
1.383662083E-1,6.030215323E-2,-1.515988912E-2,5.276981592E-1
1.484032083E-1,2.069308050E-2,1.235040464E-2,7.214494944E-1
1.584412083E-1,-3.130274266E-2,9.398081899E-2,5.618145466E-1
1.684792083E-1,-7.559470832E-2,3.270205576E-3,6.728110909E-1
1.785162083E-1,4.625021247E-4,-7.762357593E-2,5.909527540E-1
1.885542083E-1,1.209240779E-1,-2.138439566E-2,5.071181059E-1
1.985922083E-1,1.783420891E-1,8.777058870E-2,7.003206015E-1
2.086292083E-1,-2.879791707E-2,1.118328944E-1,6.159221530E-1
2.186672083E-1,-2.147033364E-1,1.069417298E-1,5.775654316E-1
2.287052083E-1,-8.794752508E-2,-1.174327806E-1,6.003402472E-1
2.387432083E-1,1.609973162E-1,4.110173509E-2,4.395545423E-1
2.487802083E-1,7.072468847E-2,1.374930143E-1,6.390414834E-1
2.588182083E-1,-7.304046303E-2,1.739841700E-1,5.485017300E-1
2.688562083E-1,-1.336027384E-1,7.547614723E-2,4.936392009E-1
2.788932083E-1,-9.912358969E-2,2.117274553E-1,5.178433061E-1
2.889312083E-1,3.284117281E-1,-1.273254901E-1,3.143690526E-1
2.989692083E-1,6.025343537E-1,-5.041156411E-1,3.397440165E-2
3.090062083E-1,2.123178840E-1,-2.223433703E-1,6.063081324E-2
3.190442083E-1,-2.744147480E-1,5.570621490E-1,1.534963101E-1
3.290822083E-1,-1.853252053E-1,6.202489734E-1,2.489880770E-1
3.391202083E-1,6.604720950E-1,5.101881176E-2,1.902224682E-2
3.491572083E-1,1.188774347E0,-3.553805947E-1,-4.388432205E-1
3.591952083E-1,5.788547993E-1,-3.074812591E-1,-1.315370798E-1
3.692332083E-1,-9.113387465E-1,3.705106974E-1,1.201023236E-1
3.792702083E-1,-1.422543883E0,6.411147714E-1,2.218148410E-1
3.893082083E-1,-4.631877244E-1,2.155837864E-1,4.613245428E-1
3.993462083E-1,8.970180750E-1,-3.226093650E-1,3.033626080E-1
4.093832083E-1,5.726335049E-1,4.586843401E-2,3.327887356E-1
4.194212083E-1,-5.379896164E-1,3.861066997E-1,3.739041984E-1
4.294592083E-1,-5.978002548E-1,2.394191772E-1,7.904934883E-2
4.394962083E-1,-6.506498903E-2,-2.683348358E-1,-8.373397589E-2
4.495342083E-1,2.930499017E-1,-5.176085606E-2,-3.903793097E-1
4.595722083E-1,5.043189526E-1,3.802155852E-1,-2.248111218E-1
4.696102083E-1,6.434094906E-1,5.178722739E-1,8.208629675E-3
4.796472083E-1,8.612175286E-2,2.643705308E-1,-2.163411230E-1
4.896852083E-1,-6.893742085E-1,-1.068211496E-1,-1.819951236E-1
4.997235833E-1,-4.400323033E-1,-2.136336118E-1,-2.445927262E-1
5.097605833E-1,6.735917926E-1,-1.430492848E-2,-3.145857453E-1
5.197985833E-1,8.750156760E-1,2.283308804E-1,-3.611801267E-1
5.298365833E-1,-5.168818682E-2,1.084007546E-1,-3.515027463E-1
5.398735833E-1,-9.237988591E-1,-1.610709429E-1,-3.863249123E-1
5.499115833E-1,-6.516402960E-1,-1.565883458E-1,-4.769805968E-1
