"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.724907875E-2,4.816143563E1,1.155279995E1,5.138578491E2,-1.000000000E0,-1.000000000E0,2.680429815E2,2.680429815E2
4.174970388E-1,4.816147723E1,1.155309213E1,5.157334633E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.051896095E0,4.816149156E1,1.155308427E1,5.155788040E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.541562796E0,4.816159007E1,1.155315123E1,5.145342073E2,3.174449682E0,-1.000000000E0,3.200000000E1,3.200000000E1
3.554655075E0,4.816169073E1,1.155318414E1,4.726361608E2,3.415229559E0,-1.000000000E0,3.200000000E1,3.200000000E1
4.554649949E0,4.816176970E1,1.155316766E1,5.130866443E2,3.415229559E0,-1.000000000E0,3.200000000E1,3.200000000E1
5.544650316E0,4.816184973E1,1.155316895E1,5.170997773E2,4.026803970E0,-1.000000000E0,1.600000000E1,1.600000000E1
6.544644475E0,4.816190666E1,1.155319056E1,5.174847210E2,4.190043449E0,-1.000000000E0,1.600000000E1,1.600000000E1
7.544639230E0,4.816199683E1,1.155316793E1,5.175137122E2,5.069010735E0,-1.000000000E0,1.600000000E1,1.600000000E1
8.544633627E0,4.816204433E1,1.155316173E1,5.174848608E2,5.009581089E0,-1.000000000E0,1.600000000E1,1.600000000E1
9.544627666E0,4.816209658E1,1.155315614E1,5.174416009E2,5.009581089E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.054462218E1,4.816214239E1,1.155315921E1,5.173915718E2,4.664471626E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.154461682E1,4.816219284E1,1.155313419E1,5.173352078E2,5.637309551E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.254461169E1,4.816224918E1,1.155312212E1,5.173018309E2,5.637309551E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.354460585E1,4.816228697E1,1.155312526E1,5.172608102E2,4.342337132E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.454528046E1,4.816232794E1,1.155312179E1,5.171952945E2,4.342337132E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.554527438E1,4.816237272E1,1.155311388E1,5.171156289E2,4.103376865E0,-1.000000000E0,2.400000000E1,2.400000000E1
1.653816879E1,4.816240876E1,1.155310925E1,5.170249353E2,4.817634583E0,-1.000000000E0,1.600000000E1,1.600000000E1
1.753816259E1,4.816260480E1,1.155318782E1,5.300250286E2,4.817634583E0,-1.000000000E0,1.200181241E1,1.200181241E1
1.853815770E1,4.816263055E1,1.155315691E1,5.167893279E2,4.889069557E0,5.931204794E0,8.001208274E0,8.001208274E0
1.969115138E1,4.816268815E1,1.155315012E1,5.166768877E2,4.920845032E0,3.597885747E2,8.001208274E0,8.001208274E0
2.069114625E1,4.816273290E1,1.155315127E1,5.166081303E2,5.097506046E0,3.571270412E2,8.001208274E0,8.001208274E0
2.169114006E1,4.816278254E1,1.155313474E1,5.165668673E2,5.097506046E0,2.804967447E0,8.001208274E0,8.001208274E0
