"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.026791667E-3,-9.083111572E-1,2.366279297E0,9.902956696E0
1.406279167E-2,-4.370910645E-1,2.512974243E0,8.077353058E0
2.409779167E-2,-9.145980835E-2,1.957928467E0,9.934840393E0
3.413379167E-2,-7.357200623E-1,1.664688263E0,1.050665131E1
4.416979167E-2,-1.363065491E0,2.429747314E0,1.027957352E1
5.420479167E-2,-9.059161377E-1,2.890638885E0,9.768685913E0
6.424079167E-2,-1.616638184E-2,2.301464081E0,9.377549286E0
7.427679167E-2,-9.340576172E-2,1.574575653E0,8.754095764E0
8.431179167E-2,-1.020727386E0,1.986069946E0,9.445358276E0
9.434779167E-2,-1.190474396E0,2.759960632E0,1.095526840E1
1.043837917E-1,-1.356179810E-1,3.549119568E0,8.737929382E0
1.144187917E-1,2.245330811E-1,2.836451569E0,7.348069611E0
1.244547917E-1,-6.773414612E-1,1.493594055E0,8.735983429E0
1.344907917E-1,-1.223256226E0,1.778601379E0,9.041947174E0
1.445257917E-1,-8.964857483E-1,2.704126740E0,9.241631927E0
1.545617917E-1,-6.053411865E-1,2.451302490E0,1.104777603E1
1.645977917E-1,-6.902146912E-1,1.980531464E0,1.102232895E1
1.746337917E-1,-4.038601685E-1,1.523531799E0,9.374106445E0
1.846687917E-1,-6.885681152E-3,2.042652283E0,8.276588745E0
1.947047917E-1,-5.986051941E-1,2.927612000E0,8.789571991E0
2.047407917E-1,-2.844085693E-1,3.207230530E0,9.900411987E0
2.147757917E-1,-1.301543427E0,3.406316528E0,9.996362457E0
2.248117917E-1,-2.001338196E-1,1.646875305E0,9.396410065E0
2.348477917E-1,-6.593788147E-1,9.192384338E-1,9.546248474E0
2.448827917E-1,-4.025129700E-1,4.143383789E-1,9.637109528E0
2.549187917E-1,-7.096742249E-1,1.188528442E0,1.032582733E1
2.649547917E-1,-9.406439209E-1,2.075434113E0,1.012674133E1
2.749897917E-1,-4.346960449E-1,1.907333679E0,9.149872742E0
2.850257917E-1,7.738906860E-2,7.370672607E-1,1.108968887E1
2.950617917E-1,7.134164429E-1,1.032403107E0,9.754764862E0
3.050977917E-1,-7.274871826E-2,3.004102936E0,8.117619324E0
3.151327917E-1,-3.138972473E-1,2.813549194E0,1.000055374E1
3.251687917E-1,-1.536704407E0,2.352507935E0,1.074435699E1
3.352047917E-1,-1.194815369E0,2.757565613E0,8.501870270E0
3.452397917E-1,1.451980591E-2,3.168760529E0,9.169032898E0
3.552757917E-1,-9.430389404E-3,2.845133514E0,1.029199768E1
3.653117917E-1,-3.273692322E-1,1.182690582E0,1.004306534E1
3.753467917E-1,-1.002615051E0,1.687590637E0,9.226962433E0
3.853827917E-1,-9.325607300E-2,3.427572327E0,8.618028717E0
3.954187917E-1,4.400848389E-1,3.583398285E0,8.098159790E0
4.054537917E-1,2.612068176E-1,1.349294128E0,7.730075226E0
4.154897917E-1,-4.658312988E-1,4.444258118E-1,7.928113403E0
4.255257917E-1,-8.032296753E-1,2.736459503E0,7.808362427E0
4.355607917E-1,-2.186952209E-1,3.971391449E0,7.067702637E0
4.455967917E-1,-6.078858948E-1,3.222798157E0,5.487738190E0
4.556327917E-1,-9.357041931E-1,3.143463135E-3,9.531129913E0
4.656687917E-1,-2.080822906E0,-5.066663818E0,2.327120728E1
4.757037917E-1,-1.941612396E0,-4.516707458E0,2.424583054E1
4.857397917E-1,-2.143392792E0,-1.222208405E0,1.939576630E1
4.957757917E-1,1.362167358E-2,4.630919952E0,8.003855896E0
5.058107917E-1,1.896556091E0,6.331383820E0,5.217400360E0
5.158467917E-1,8.135581970E-1,4.591252441E0,1.045081741E1
5.258827917E-1,-1.299298096E0,1.301992493E0,1.240724899E1
5.359177917E-1,-3.990850983E0,4.043092346E-1,1.316212921E1
5.459537917E-1,-5.920188904E-1,1.241817627E0,1.060305084E1
5.559897917E-1,1.336121521E0,4.634362793E0,6.611301727E0
5.660247917E-1,9.107061768E-1,5.820645905E0,4.519252167E0
5.760607917E-1,2.396516418E-1,3.434607697E0,5.901178436E0
5.860967917E-1,-1.347946930E0,2.034718781E0,6.774163055E0
5.961317917E-1,2.927911377E-1,7.982899475E-1,7.573650513E0
6.061677917E-1,7.894583130E-1,9.921368408E-1,9.405241699E0
6.162037917E-1,3.691323853E-1,1.396446075E0,1.053838531E1
6.262397917E-1,-2.778222656E-1,2.038460999E0,9.451794891E0
6.362747917E-1,-7.948471069E-1,3.189866638E0,7.154073029E0
6.463107917E-1,-7.285350037E-1,3.358416138E0,7.081324310E0
6.563467917E-1,-7.388635254E-1,2.167941742E0,9.962981873E0
